Date,Country,Confirmed,Deaths,Recovered,Critical,Per1M
3/17/20,St. Vincent Grenadines,1,0,0,0,9
3/18/2020,St. Vincent Grenadines,1,0,0,0,9
3/18/2020,St. Vincent Grenadines,1,0,0,0,9
3/19/2020,St. Vincent Grenadines,1,0,0,0,9
3/17/20,Sudan,2,1,0,0,0.02
3/18/2020,Sudan,2,1,0,0,0.05
3/18/2020,Sudan,2,1,0,0,0.05
3/19/2020,Sudan,2,1,0,0,0.05
3/17/20,Suriname,1,0,0,0,2
3/18/2020,Suriname,1,0,0,0,2
3/18/2020,Suriname,1,0,0,0,2
3/19/2020,Suriname,1,0,0,0,2
3/17/20,Sweden,1301,10,1,12,118
3/18/2020,Sweden,1301,10,15,12,129
3/18/2020,Sweden,1301,10,15,12,129
3/19/2020,Sweden,1439,11,16,21,142
3/17/20,Switzerland,3115,33,15,0,317
3/18/2020,Switzerland,3115,33,15,0,360
3/18/2020,Switzerland,3115,33,15,0,360
3/19/2020,Switzerland,3939,36,15,0,455
3/17/20,Taiwan,100,1,20,0,3
3/18/2020,Taiwan,100,1,22,0,4
3/18/2020,Taiwan,100,1,22,0,4
3/19/2020,Taiwan,108,1,26,0,5
3/17/20,Tanzania,3,0,0,0,0.02
3/18/2020,Tanzania,3,0,0,0,0.05
3/18/2020,Tanzania,3,0,0,0,0.05
3/19/2020,Tanzania,6,0,0,0,0.1
3/17/20,Thailand,212,1,41,1,3
3/18/2020,Thailand,212,1,42,1,3
3/18/2020,Thailand,212,1,42,1,3
3/19/2020,Thailand,272,1,42,1,4
3/17/20,Togo,1,0,0,0,0.1
3/18/2020,Togo,1,0,0,0,0.1
3/18/2020,Togo,1,0,0,0,0.1
3/19/2020,Togo,1,0,0,0,0.1
3/17/20,Trinidad and Tobago,7,0,0,0,4
3/18/2020,Trinidad and Tobago,7,0,0,0,5
3/18/2020,Trinidad and Tobago,7,0,0,0,5
3/19/2020,Trinidad and Tobago,9,0,0,0,6
3/17/20,Tunisia,29,0,1,2,2
3/18/2020,Tunisia,29,0,1,2,2
3/18/2020,Tunisia,29,0,1,2,2
3/19/2020,Tunisia,39,0,1,2,3
3/17/20,Turkey,191,2,0,0,1
3/18/2020,Turkey,191,2,0,0,2
3/18/2020,Turkey,191,2,0,0,2
3/19/2020,Turkey,192,3,0,0,2
3/17/20,U.S. Virgin Islands,2,0,0,0,19
3/18/2020,U.S. Virgin Islands,2,0,0,0,19
3/18/2020,U.S. Virgin Islands,2,0,0,0,19
3/19/2020,U.S. Virgin Islands,3,0,0,0,29
3/17/20,UAE,113,0,26,2,11
3/18/2020,UAE,113,0,26,2,11
3/18/2020,UAE,113,0,26,2,11
3/19/2020,UAE,140,0,31,2,14
3/17/20,UK,2626,104,65,20,29
3/18/2020,UK,2626,104,65,20,39
3/18/2020,UK,2626,104,65,20,39
3/19/2020,UK,2692,137,65,20,40
3/17/20,Ukraine,16,2,0,0,0.3
3/18/2020,Ukraine,16,2,0,0,0.4
3/18/2020,Ukraine,16,2,0,0,0.4
3/19/2020,Ukraine,18,2,0,0,0.4
3/17/20,Uruguay,79,0,0,0,14
3/18/2020,Uruguay,79,0,0,0,23
3/18/2020,Uruguay,79,0,0,0,23
3/19/2020,Uruguay,79,0,0,0,23
3/17/20,USA,9259,150,106,12,20
3/18/2020,USA,9259,150,108,64,29
3/18/2020,USA,9259,150,108,64,29
3/19/2020,USA,10767,160,108,64,33
3/17/20,Uzbekistan,18,0,0,0,0.3
3/18/2020,Uzbekistan,18,0,0,0,0.5
3/18/2020,Uzbekistan,18,0,0,0,0.5
3/19/2020,Uzbekistan,23,0,0,0,0.7
3/17/20,Vatican City,1,0,0,0,1248
3/18/2020,Vatican City,1,0,0,0,1248
3/18/2020,Vatican City,1,0,0,0,1248
3/19/2020,Vatican City,1,0,0,0,1248
3/17/20,Venezuela,36,0,0,0,1
3/18/2020,Venezuela,36,0,0,0,1
3/18/2020,Venezuela,36,0,0,0,1
3/19/2020,Venezuela,36,0,0,0,1
3/17/20,Vietnam,76,0,16,0,0.7
3/18/2020,Vietnam,76,0,16,0,0.8
3/18/2020,Vietnam,76,0,16,0,0.8
3/19/2020,Vietnam,76,0,16,0,0.8
3/18/2020,Zambia,2,0,0,0,0.1
3/18/2020,Zambia,2,0,0,0,0.1
3/19/2020,Zambia,2,0,0,0,0.1
